,brain_region_1,value,SPI,brain_region_2
209,proc-45,0.1407791652850066,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
210,proc-46,0.11300207408867464,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
211,proc-47,0.13506754213880612,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
212,proc-48,0.12070562493745499,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
213,proc-49,0.10715734475097508,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
214,proc-50,0.12243067561752397,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
215,proc-51,0.08236481276125021,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
216,proc-52,0.0979549546713633,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
217,proc-53,0.14483359426051126,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
218,proc-54,0.19579018027708917,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
219,proc-55,0.15880063063422373,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
220,proc-56,0.25422391847299997,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
221,proc-57,0.1823353470420031,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
222,proc-58,0.11570728710333271,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
223,proc-59,0.12776017278366378,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
224,proc-60,0.11051793905421763,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
225,proc-61,0.1247776918898676,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
226,proc-62,0.10533209768258858,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
